clientName,siteNumber,estatus,tecnología,oa
PROVIDENT MEXICO S.A. DE C.V.,71729038,,CUAD-BROADSOFT,418655
PROVIDENT MEXICO S.A. DE C.V.,71729065,,CUAD-BROADSOFT,418663
PROVIDENT MEXICO S.A. DE C.V.,71729436,,CUAD-BROADSOFT,418638
PROVIDENT MEXICO S.A. DE C.V.,71729453,,CUAD-BROADSOFT,418655
PROVIDENT MEXICO S.A. DE C.V.,71831079,,CUAD-BROADSOFT,418629
PROVIDENT MEXICO S.A. DE C.V.,71729108,,CUAD-BROADSOFT,418663
PROVIDENT MEXICO S.A. DE C.V.,71729014,,CUAD-BROADSOFT,418655
PROVIDENT MEXICO S.A. DE C.V.,71728975,,CUAD-BROADSOFT,418638
PROVIDENT MEXICO S.A. DE C.V.,71729100,,CUAD-BROADSOFT,418629
PROVIDENT MEXICO S.A. DE C.V.,71729076,,CUAD-BROADSOFT,418663
PROVIDENT MEXICO S.A. DE C.V.,71728973,,CUAD-BROADSOFT,418638
PROVIDENT MEXICO S.A. DE C.V.,71729449,,CUAD-BROADSOFT,418655
PROVIDENT MEXICO S.A. DE C.V.,71729018,,CUAD-BROADSOFT,418663
PROVIDENT MEXICO S.A. DE C.V.,71729062,,CUAD-BROADSOFT,418629
PROVIDENT MEXICO S.A. DE C.V.,71728950,,CUAD-BROADSOFT,418629
PROVIDENT MEXICO S.A. DE C.V.,71729447,,CUAD-BROADSOFT,418663
PROVIDENT MEXICO S.A. DE C.V.,71729022,,CUAD-BROADSOFT,418655
PROVIDENT MEXICO S.A. DE C.V.,71728917,,CUAD-BROADSOFT,418655
PROVIDENT MEXICO S.A. DE C.V.,71728961,,CUAD-BROADSOFT,418629
PROVIDENT MEXICO S.A. DE C.V.,71728891,,CUAD-BROADSOFT,418638
PROVIDENT MEXICO S.A. DE C.V.,71729080,,CUAD-BROADSOFT,418663
PROVIDENT MEXICO S.A. DE C.V.,71729118,,CUAD-BROADSOFT,418638
"JUGOS DEL VALLE,S.A.B. DE C.V.",71778418,,CUAD-BROADSOFT,405033
"MAN TRUCK & BUS MEXICO, S.A. DE C.V.",71628552,,CUAD-BROADSOFT,414159
EMBOTELLADORA LAS MARGARITAS S A P I DE CV,71829936,,CUAD-AVAYA,408967
EMBOTELLADORA LAS MARGARITAS S A P I DE CV,70143296,,CUAD-BROADSOFT,385003
GRUPO GAYOSSO,71319085,,CUAD-CISCO,276016
GRUPO GAYOSSO,71457403,,CUAD-BROADSOFT,419116
